ID,Created,Name,Description,Playlist URL
d24966edb6194b44bd8c60a5446e3323,2025-01-17T07:46:11Z,WWE Entrance,Your walkout song if you were a Boxer/WWE/UFC FIGHTTERR rawr,https://open.spotify.com/playlist/2JDy9Bua8vhuXrbm2TlZ4P
6e40f107059147b297a6dc8163e2d691,2025-01-17T07:47:13Z,Cloudy with a chance of bangers,Songs that have weather related titles,https://open.spotify.com/playlist/6imVYBUPlnTMwemLAEmM7C
76ee768f43b2408c90ad9a06e1bd6c00,2025-01-17T07:47:42Z,Hairography,Songs to best accommodate Jason and Liam's hair flipping,https://open.spotify.com/playlist/3g4Hgm6hNicny1z7OlT2f9
1d3ae3f7ba774fc68c9cf264200726c2,2025-01-17T07:48:05Z,Recent repeats,A song you've had on repeat recently and would like to show the class,https://open.spotify.com/playlist/66cf7GGx50L6HqYhhH0qhX
1c772e18383f43bd8c5079a1657bb620,2025-01-17T07:48:52Z,For the visual people (prentjie mense),Songs with music videos that make good songs GREAT (add the link to the video in the comment please),https://open.spotify.com/playlist/0do2RELxjxfI2xMtqDeyUk
077888caba3140eeb1424594d8e2305e,2025-01-17T07:49:18Z,Que Pasa?,Good songs that are in a language that you don't understand,https://open.spotify.com/playlist/54AwtnXVtlRaGQEKGtzNzR
227588d5a4cc431fb6299dfbf05d7270,2025-01-17T07:50:22Z,Local talent,"A good song from a South African band/artist that you think deserves more attention.
Xan : ""The ""local talent"" was good last year but make it less local but still local""
",https://open.spotify.com/playlist/4NI8yhJpOrllxjs4lIHi2N
329b934974144a7bab55d0383043f2ff,2025-01-17T07:50:56Z,Du du du du,"If Nuvogenix had a theme song, what would it be?",https://open.spotify.com/playlist/4MskrOuiguPVxhWA5A8KXV
b896b325b1194157a0f16238cb3f7035,2025-01-17T07:51:18Z,Geoguessr,"Songs with a geographical place in the title (city,country etc)",https://open.spotify.com/playlist/4Z3SayWruSValupZVyJd5X
54f18f2378c34d2fa8648177de4ca789,2025-01-17T07:52:03Z,Assstronomical ,Songs with a celestial being in the title (words like stars and planet are also allowed yes),https://open.spotify.com/playlist/2LiViSnm3jMruwjrYdI5gw
b1e9954a22c14866ba75363e2c2bb69c,2025-01-17T07:53:22Z,Can I show you something?,Songs others don't know but will like - downvotes if you knew / dont like the song,https://open.spotify.com/playlist/1FeIJ3DQJzDE4cOKnJiDp4
b0a84672fdb74597a28911150bf1399c,2025-01-17T07:53:40Z,Guilty pleasure,A guilty pleasure song that would get you kicked out your high school clique but is a banger,https://open.spotify.com/playlist/7iRF0TTg3HU7F6JaXElGha
e21eef9d06134116b5611a4a159035f2,2025-01-17T07:54:09Z,Bangers and Mash,Songs that have a food related titles,https://open.spotify.com/playlist/5ygJSeq8z46DLAxchWcjKt
b5eadd4bc6894f9b932b75d15aa90335,2025-01-17T07:55:00Z,Let it out,Songs that are on your crying playlist,https://open.spotify.com/playlist/0RNWcvWjf7O0wR3WFYcloW
1c58a587b32c499b8666a93467a1e1e8,2025-01-17T07:55:43Z,Size matters,Songs that are 6 minutes or longer,https://open.spotify.com/playlist/0jMdAjO4Ve0SngI4V67j0l
6c2a1ad868174637834900b388f2476c,2025-01-17T07:56:19Z,Size doesnt matter,Songs that are under 2 minutes long,https://open.spotify.com/playlist/0Wv1wxtE5B8ecCj0DBzQca
61674ba14d1c46bea219b5e9ffda43b8,2025-01-17T07:56:46Z,Girl POWAH,Songs with female vocals only,https://open.spotify.com/playlist/2BZEhEWj4BuzXM4ZB3Hlex
5901b985cf904c79bfe18e94ccec02b3,2025-01-17T07:57:06Z,Nerds like music too,Songs with numbers in the title (both numerical and word format are allowed),https://open.spotify.com/playlist/5VRhVB8J7pASG3t2IDPTmP
