Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:7KaPirdYI1EUhma39W8RVH,8dc880a1d49c433c85012015e8110cd6,2025-10-14T06:41:09Z,2,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:7oSZ6MfZPLsJ2pEc7tu3zz,8dc880a1d49c433c85012015e8110cd6,2025-10-14T06:41:09Z,2,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:0U7k3FA9j87TO5jAi15ylT,8dc880a1d49c433c85012015e8110cd6,2025-10-14T06:41:09Z,2,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:1hJdzermHhYNWxiu0Fw5h9,8dc880a1d49c433c85012015e8110cd6,2025-10-14T06:41:09Z,6,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:20BFo9REyGdCxrlPmD3xph,8dc880a1d49c433c85012015e8110cd6,2025-10-14T06:41:09Z,2,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:3UMbZWBBN0CSjPHqgaQItA,8dc880a1d49c433c85012015e8110cd6,2025-10-14T06:41:09Z,3,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:6Df0RNShcnfIJmrRoJ6Gc9,8dc880a1d49c433c85012015e8110cd6,2025-10-14T06:41:09Z,6,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:6ONyZXRIEiZWWnAA1F5YvH,8dc880a1d49c433c85012015e8110cd6,2025-10-14T06:41:09Z,2,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:6r3jteHvR25BRmiHHJO12i,8dc880a1d49c433c85012015e8110cd6,2025-10-14T06:41:09Z,2,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:71MZKO0M24RBAk6ubkt2SG,8dc880a1d49c433c85012015e8110cd6,2025-10-14T06:41:09Z,2,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:7E47zOXHdx0Ob0Bu5GxCs6,8dc880a1d49c433c85012015e8110cd6,2025-10-14T06:41:09Z,1,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:71MZKO0M24RBAk6ubkt2SG,9500c59486b144798a34725d2faff826,2025-10-14T09:07:00Z,3,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:7oSZ6MfZPLsJ2pEc7tu3zz,9500c59486b144798a34725d2faff826,2025-10-14T09:07:00Z,1,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:20BFo9REyGdCxrlPmD3xph,9500c59486b144798a34725d2faff826,2025-10-14T09:07:00Z,4,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:0SaK0ipZhNK904aYpqh2bh,9500c59486b144798a34725d2faff826,2025-10-14T09:07:00Z,3,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:3K6poepPfveodD8NQq1R0X,9500c59486b144798a34725d2faff826,2025-10-14T09:07:00Z,4,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:3UMbZWBBN0CSjPHqgaQItA,9500c59486b144798a34725d2faff826,2025-10-14T09:07:00Z,4,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:6ONyZXRIEiZWWnAA1F5YvH,9500c59486b144798a34725d2faff826,2025-10-14T09:07:00Z,4,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:6rWLrj4M3PDu6XpgjY7vAU,9500c59486b144798a34725d2faff826,2025-10-14T09:07:00Z,2,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:6V7bxWg4mmuU4ILbYPQJvd,9500c59486b144798a34725d2faff826,2025-10-14T09:07:00Z,2,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:7KaPirdYI1EUhma39W8RVH,9500c59486b144798a34725d2faff826,2025-10-14T09:07:00Z,3,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:6Df0RNShcnfIJmrRoJ6Gc9,a6dc4d889a014ce78e58688311a169e8,2025-10-15T12:56:36Z,2,,0fb080ea8c454e8ab6cc90e560b9d660
spotify:track:6r3jteHvR25BRmiHHJO12i,a6dc4d889a014ce78e58688311a169e8,2025-10-15T12:56:36Z,1,,0fb080ea8c454e8ab6cc90e560b9d660
