Spotify URI,Energy,Danceability,Valence,Acousticness,Instrumentalness,Liveness,Speechiness,Tempo,Key,Mode,Time Signature,Loudness,Duration (ms),Genre,All Genres,Fetched At
spotify:track:2gZUPNdnz5Y45eiGxpHGSc,,,,,,,,,,,,,292093,rap,rap,2025-11-14T09:03:58.574Z
spotify:track:2KH16WveTQWT6KOG9Rg6e2,,,,,,,,,,,,,245640,,,2025-11-14T09:03:58.574Z
spotify:track:2qjH6wZfR0g11ZiT7KqyRO,,,,,,,,,,,,,134200,post-hardcore,post-hardcore; metalcore,2025-11-14T09:03:58.574Z
spotify:track:3IV4swNduIRunHREK80owz,,,,,,,,,,,,,213760,nu metal,nu metal; rap metal; alternative metal; rap rock,2025-11-14T09:03:58.574Z
spotify:track:4bqSES0mkm6RxFrRcIKHtj,,,,,,,,,,,,,260333,metal,metal,2025-11-14T09:03:58.574Z
spotify:track:4K1DB7EedHPuVnhVrnvf2U,,,,,,,,,,,,,244693,rap metal,rap metal; rap rock; alternative metal; nu metal,2025-11-14T09:03:58.574Z
spotify:track:4UEo1b0wWrtHMC8bVqPiH8,,,,,,,,,,,,,374453,metal,metal; alternative metal,2025-11-14T09:03:58.574Z
spotify:track:4wSmqFg31t6LsQWtzYAJob,,,,,,,,,,,,,234960,french house,french house; new rave,2025-11-14T09:03:58.574Z
spotify:track:4Yqy0GpeDEXLibWJCZyQew,,,,,,,,,,,,,282653,glam metal,glam metal; glam rock; hard rock,2025-11-14T09:03:58.574Z
spotify:track:5AyL2kgLtTWEu3qO3B9SqK,,,,,,,,,,,,,216893,,,2025-11-14T09:03:58.574Z
spotify:track:5cZqsjVs6MevCnAkasbEOX,,,,,,,,,,,,,166706,nu metal,nu metal; rap metal; alternative metal; rap rock,2025-11-14T09:04:45.134Z
spotify:track:5DooySfCD1xCJ49gQm9rx7,,,,,,,,,,,,,190760,nu metal,nu metal; christian rock; rap metal; rap rock; alternative metal,2025-11-14T09:04:45.134Z
spotify:track:67awxiNHNyjMXhVgsHuIrs,,,,,,,,,,,,,213733,crunk,crunk,2025-11-14T09:04:45.135Z
spotify:track:6C7ZgThn6Yan5MTZdAEEFw,,,,,,,,,,,,,289693,old school hip hop,old school hip hop; east coast hip hop; rap,2025-11-14T09:04:45.135Z
spotify:track:6kooDsorCpWVMGc994XjWN,,,,,,,,,,,,,238973,southern rock,southern rock,2025-11-14T09:04:45.135Z
spotify:track:6wkGAHXc6tGSSp3SB9frKN,,,,,,,,,,,,,142344,progressive trance,progressive trance,2025-11-14T09:04:45.135Z
spotify:track:7CpbhqKUedOIrcvc94p60Y,,,,,,,,,,,,,201960,nu metal,nu metal; alternative metal; rap metal; metal,2025-11-14T09:04:45.135Z
spotify:track:7fcfNW0XxTWlwVlftzfDOR,,,,,,,,,,,,,315120,groove metal,groove metal; metal; thrash metal; heavy metal,2025-11-14T09:04:45.135Z
spotify:track:7x8dCjCr0x6x2lXKujYD34,,,,,,,,,,,,,269373,rock,rock; post-grunge; alternative rock; grunge,2025-11-14T09:04:45.135Z
spotify:track:05wIrZSwuaVWhcv5FfqeH0,,,,,,,,,,,,,238733,,,2025-11-14T09:04:45.135Z
spotify:track:0FDzzruyVECATHXKHFs9eJ,,,,,,,,,,,,,267866,,,2025-11-14T09:04:45.135Z
spotify:track:0P2vAvvWni2tNXOdbH3JFk,,,,,,,,,,,,,167160,jangle pop,jangle pop,2025-11-14T09:04:45.135Z
spotify:track:1Q3t9fWvHUXKsMmpD2XpUu,,,,,,,,,,,,,214386,,,2025-11-14T09:04:45.135Z
spotify:track:2aibwv5hGXSgw7Yru8IYTO,,,,,,,,,,,,,334666,funk rock,funk rock; alternative rock; rock,2025-11-14T09:04:45.135Z
spotify:track:2EoOZnxNgtmZaD8uUmz2nD,,,,,,,,,,,,,318586,grunge,grunge; post-grunge; hard rock,2025-11-14T09:04:45.135Z
spotify:track:2LawezPeJhN4AWuSB0GtAU,,,,,,,,,,,,,160133,classic rock,classic rock; southern rock; country rock,2025-11-14T09:04:45.135Z
spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,,,,,,,,,,,,,240400,,,2025-11-14T09:04:45.135Z
spotify:track:4fiOTntQKr24p07FvQDHZE,,,,,,,,,,,,,255186,thrash metal,thrash metal; metal; speed metal; heavy metal; groove metal; death metal,2025-11-14T09:04:45.135Z
spotify:track:4lJNen4SMTIJMahALc3DcB,,,,,,,,,,,,,187026,moombahton,moombahton,2025-11-14T09:04:45.135Z
spotify:track:4pF42a0ckjj7S0g2U4twgI,,,,,,,,,,,,,161097,,,2025-11-14T09:04:45.135Z
spotify:track:4zLBcDtvYNVtF9fnG6lme3,,,,,,,,,,,,,179960,tropical house,tropical house,2025-11-14T09:04:45.135Z
spotify:track:59QIgqcD62bFcSty0J84Vr,,,,,,,,,,,,,180444,metalcore,metalcore; nu metal,2025-11-14T09:04:45.135Z
spotify:track:5aFGo8wHEntVxFI8IF7Wuj,,,,,,,,,,,,,236933,garage rock,garage rock; rock,2025-11-14T09:04:45.135Z
spotify:track:5pSvjjfsh34sLrkYSNGCl4,,,,,,,,,,,,,225706,,,2025-11-14T09:04:45.135Z
spotify:track:5Ua7JMWHaHTvYnvUgcyilk,,,,,,,,,,,,,177448,southern gothic,southern gothic,2025-11-14T09:04:45.135Z
spotify:track:6ScGvnnuv1Ag1oouYS8xLW,,,,,,,,,,,,,255374,,,2025-11-14T09:04:45.135Z
spotify:track:6Sy9BUbgFse0n0LPA5lwy5,,,,,,,,,,,,,225493,eurodance,eurodance,2025-11-14T09:04:45.135Z
spotify:track:7vidktgNZFQylTgH1GEnMs,,,,,,,,,,,,,203133,aor,aor; classic rock,2025-11-14T09:04:45.135Z
spotify:track:0aTltS2EBEW76JBVQhIQ7a,,,,,,,,,,,,,243720,,,2025-11-14T09:04:45.135Z
spotify:track:0G6cDf9GNtv0ZkJNAMFLrZ,,,,,,,,,,,,,313293,j-rock,j-rock; anime; visual kei,2025-11-14T09:04:45.135Z
spotify:track:1158ckiB5S4cpsdYHDB9IF,,,,,,,,,,,,,214760,nu metal,nu metal; alternative metal; rap metal; shoegaze; rock,2025-11-14T09:04:45.135Z
spotify:track:1MQrMQwfqjgOjXEUaN9AMd,,,,,,,,,,,,,170466,,,2025-11-14T09:04:45.135Z
spotify:track:1PTaMDALMwDMtXQXOXti8d,,,,,,,,,,,,,100800,deathcore,deathcore; metalcore; deathcore,2025-11-14T09:04:45.135Z
spotify:track:27sTzAelgljD6Uxp88BqA3,,,,,,,,,,,,,252280,melodic death metal,melodic death metal; metal; death metal; heavy metal,2025-11-14T09:04:45.135Z
spotify:track:2DlHlPMa4M17kufBvI2lEN,,,,,,,,,,,,,210240,nu metal,nu metal; metal; alternative metal; rap metal; rock,2025-11-14T09:04:45.135Z
spotify:track:2lN6G35gsXkA3xzPYqmis5,,,,,,,,,,,,,285706,drum and bass,drum and bass; melodic death metal; metal; death metal; metalcore,2025-11-14T09:04:45.135Z
spotify:track:3GfOAdcoc3X5GPiiXmpBjK,,,,,,,,,,,,,121880,britpop,britpop; madchester; alternative rock,2025-11-14T09:04:45.135Z
spotify:track:4Dio1t8RHzLv1nfPJTSZyP,,,,,,,,,,,,,195440,,,2025-11-14T09:04:45.135Z
spotify:track:4h7t0JQt9QyAIooTQxcw85,,,,,,,,,,,,,183506,,,2025-11-14T09:04:45.135Z
spotify:track:4mVzCmTZeBOkvSQsuvFQWh,,,,,,,,,,,,,244744,pop punk,pop punk; emo; midwest emo,2025-11-14T09:04:45.135Z
spotify:track:4zfEDLbmmI7V9Yt12s0DQH,,,,,,,,,,,,,534760,metal,metal; thrash metal; rock; heavy metal; hard rock,2025-11-14T09:04:45.135Z
spotify:track:57bgtoPSgt236HzfBOd8kj,,,,,,,,,,,,,292880,rock,rock; hard rock; classic rock; rock and roll,2025-11-14T09:04:45.135Z
spotify:track:5dAtKXyrQoQW054LZqJ5dP,,,,,,,,,,,,,221000,melodic bass,melodic bass; future bass; edm; techno; dubstep; riddim; deathstep; edm; dub; melodic bass; bass music; techno; metalcore; metal,2025-11-14T09:04:45.135Z
spotify:track:5q6B0DoWZDo3aeeQizokyw,,,,,,,,,,,,,199080,thrash metal,thrash metal; groove metal; metal; death metal; nu metal; heavy metal; speed metal; alternative metal,2025-11-14T09:04:45.135Z
spotify:track:62feRreeM9ea7i2VHVSKrg,,,,,,,,,,,,,168750,melbourne bounce,melbourne bounce; big room,2025-11-14T09:04:45.135Z
spotify:track:6nTiIhLmQ3FWhvrGafw2zj,,,,,,,,,,,,,176346,punk,punk; pop punk,2025-11-14T09:04:45.135Z
spotify:track:6OMO6WdRhSfjMPAiPT94wH,,,,,,,,,,,,,179160,post-grunge,post-grunge; rock,2025-11-14T09:04:45.135Z
spotify:track:0Jvmz9h3JuJZlTH1WcqyQG,,,,,,,,,,,,,160000,,,2025-11-14T09:04:45.135Z
